timestamp,open,high,low,close,volume
2025-10-09 09:30:00,673.52,673.59,673.32,673.485,6664
2025-10-09 09:31:00,673.53,673.93,673.445,673.87,8332
2025-10-09 09:32:00,673.9,673.9,673.535,673.535,6236
2025-10-09 09:33:00,673.575,673.59,673.41,673.45,2452
2025-10-09 09:34:00,673.38,673.38,673.265,673.33,1448
2025-10-09 09:35:00,673.33,673.355,673.22,673.32,4378
2025-10-09 09:36:00,673.37,673.435,673.305,673.32,5991
2025-10-09 09:37:00,673.45,673.48,673.305,673.39,4450
2025-10-09 09:38:00,673.4,673.525,673.395,673.45,10323
2025-10-09 09:39:00,673.495,673.57,673.43,673.44,4638
2025-10-09 09:40:00,673.53,673.57,673.25,673.34,1925
2025-10-09 09:41:00,673.27,673.27,673.04,673.04,2827
2025-10-09 09:42:00,673.0,673.01,672.81,672.9,13273
2025-10-09 09:43:00,672.84,672.92,672.775,672.81,3562
2025-10-09 09:44:00,672.99,672.99,672.675,672.755,3131
2025-10-09 09:45:00,672.74,672.74,672.49,672.55,2781
2025-10-09 09:46:00,672.62,672.62,672.515,672.515,958
2025-10-09 09:47:00,672.57,672.585,672.45,672.56,1710
2025-10-09 09:48:00,672.63,672.85,672.56,672.85,2139
2025-10-09 09:49:00,672.9,673.0,672.855,672.955,4055
2025-10-09 09:50:00,672.95,672.95,672.8,672.84,2086
2025-10-09 09:51:00,672.78,672.925,672.26,672.29,5260
2025-10-09 09:52:00,672.135,672.32,672.135,672.145,10087
2025-10-09 09:53:00,672.145,672.195,671.87,671.95,8353
2025-10-09 09:54:00,672.14,672.14,671.83,671.83,1736
2025-10-09 09:55:00,671.88,671.95,671.59,671.7,3755
2025-10-09 09:56:00,671.63,671.98,671.63,671.925,3710
2025-10-09 09:57:00,671.88,672.215,671.88,672.215,3992
2025-10-09 09:58:00,672.15,672.15,672.005,672.005,1155
2025-10-09 09:59:00,671.96,672.09,671.94,671.94,5060
2025-10-09 10:00:00,671.83,671.83,671.65,671.775,3638
2025-10-09 10:01:00,671.765,671.765,671.52,671.62,3816
2025-10-09 10:02:00,671.48,671.64,671.48,671.63,2164
2025-10-09 10:03:00,671.615,671.84,671.61,671.84,1454
2025-10-09 10:04:00,671.82,672.01,671.82,671.875,3144
2025-10-09 10:05:00,671.98,671.98,671.87,671.87,2367
2025-10-09 10:06:00,671.88,671.93,671.79,671.93,2395
2025-10-09 10:07:00,672.01,672.21,671.985,672.12,4332
2025-10-09 10:08:00,672.08,672.08,671.92,671.92,2599
2025-10-09 10:09:00,671.91,671.91,671.8,671.89,2012
2025-10-09 10:10:00,671.87,672.0,671.85,671.85,1383
2025-10-09 10:11:00,671.88,672.0,671.82,672.0,2997
2025-10-09 10:12:00,672.025,672.155,671.915,671.955,3758
2025-10-09 10:13:00,671.98,672.01,671.96,671.97,1852
2025-10-09 10:14:00,671.94,672.065,671.94,672.02,2459
2025-10-09 10:15:00,671.89,671.91,671.695,671.78,2430
2025-10-09 10:16:00,671.81,671.895,671.79,671.79,1076
2025-10-09 10:17:00,671.61,671.67,671.585,671.67,1237
2025-10-09 10:18:00,671.685,671.78,671.61,671.78,2106
2025-10-09 10:19:00,671.825,671.825,671.735,671.74,1851
2025-10-09 10:20:00,671.665,671.675,671.51,671.51,3844
2025-10-09 10:21:00,671.41,671.41,671.14,671.39,3569
2025-10-09 10:22:00,671.3,671.315,671.17,671.315,2445
2025-10-09 10:23:00,671.305,671.5,671.305,671.47,1398
2025-10-09 10:24:00,671.455,671.59,671.45,671.56,2473
2025-10-09 10:25:00,671.5,671.5,671.4,671.415,2583
2025-10-09 10:26:00,671.435,671.445,671.27,671.345,1723
2025-10-09 10:27:00,671.31,671.315,671.23,671.27,2235
2025-10-09 10:28:00,671.275,671.47,671.275,671.36,3192
2025-10-09 10:29:00,671.38,671.38,671.185,671.21,2895
2025-10-09 10:30:00,671.195,671.2,670.94,671.01,1587
2025-10-09 10:31:00,671.015,671.015,670.72,670.73,2250
2025-10-09 10:32:00,670.72,670.86,670.67,670.8,3598
2025-10-09 10:33:00,670.81,670.93,670.805,670.93,624
2025-10-09 10:34:00,670.895,670.895,670.725,670.725,3433
2025-10-09 10:35:00,670.73,670.74,670.5,670.6,2669
2025-10-09 10:36:00,670.56,670.63,670.46,670.54,1289
2025-10-09 10:37:00,670.68,670.805,670.68,670.75,2523
2025-10-09 10:38:00,670.74,670.74,670.605,670.62,2965
2025-10-09 10:39:00,670.625,670.63,670.3,670.42,3387
2025-10-09 10:40:00,670.44,670.75,670.44,670.67,5550
2025-10-09 10:41:00,670.68,670.8,670.53,670.61,5427
2025-10-09 10:42:00,670.67,670.67,670.46,670.465,2267
2025-10-09 10:43:00,670.52,670.52,670.36,670.36,2376
2025-10-09 10:44:00,670.445,670.46,670.285,670.285,1802
2025-10-09 10:45:00,670.22,670.22,669.98,670.16,5983
2025-10-09 10:46:00,670.2,670.54,670.2,670.4,4570
2025-10-09 10:47:00,670.4,670.415,670.3,670.3,2140
2025-10-09 10:48:00,670.39,670.39,670.32,670.32,717
2025-10-09 10:49:00,670.49,670.79,670.49,670.785,1493
2025-10-09 10:50:00,670.97,671.04,670.89,670.995,2848
2025-10-09 10:51:00,670.95,670.95,670.94,670.94,248
2025-10-09 10:52:00,671.12,671.16,670.97,670.97,2327
2025-10-09 10:53:00,670.895,671.03,670.86,671.03,4337
2025-10-09 10:54:00,670.95,671.03,670.935,671.02,1527
2025-10-09 10:55:00,671.0,671.125,670.94,671.125,2308
2025-10-09 10:56:00,671.17,671.23,671.08,671.23,1642
2025-10-09 10:57:00,671.305,671.42,671.2,671.42,4577
2025-10-09 10:58:00,671.395,671.47,671.395,671.47,1672
2025-10-09 10:59:00,671.34,671.39,671.29,671.32,2016
2025-10-09 11:00:00,671.46,671.68,671.44,671.605,3517
2025-10-09 11:01:00,671.61,671.61,671.48,671.53,1947
2025-10-09 11:02:00,671.54,671.57,671.245,671.33,2425
2025-10-09 11:03:00,671.34,671.42,671.34,671.42,586
2025-10-09 11:04:00,671.505,671.505,671.42,671.455,928
2025-10-09 11:05:00,671.505,671.63,671.46,671.63,1221
2025-10-09 11:06:00,671.48,671.53,671.4,671.42,3295
2025-10-09 11:07:00,671.41,671.41,671.23,671.3,2440
2025-10-09 11:08:00,671.23,671.45,671.22,671.37,2283
2025-10-09 11:09:00,671.47,671.52,671.47,671.52,775
2025-10-09 11:10:00,671.59,671.59,671.365,671.41,2682
2025-10-09 11:11:00,671.475,671.475,671.3,671.36,1459
2025-10-09 11:12:00,671.42,671.47,671.42,671.47,450
2025-10-09 11:13:00,671.53,671.53,671.53,671.53,345
2025-10-09 11:14:00,671.55,671.55,671.5,671.515,1717
2025-10-09 11:15:00,671.505,671.71,671.505,671.71,2350
2025-10-09 11:16:00,671.84,671.84,671.72,671.745,1307
2025-10-09 11:17:00,671.735,671.74,671.64,671.64,1289
2025-10-09 11:18:00,671.57,671.63,671.54,671.63,1488
2025-10-09 11:19:00,671.63,671.67,671.63,671.67,714
2025-10-09 11:20:00,671.58,671.58,671.51,671.51,686
2025-10-09 11:21:00,671.53,671.53,671.35,671.39,3864
2025-10-09 11:22:00,671.4,671.405,671.4,671.405,704
2025-10-09 11:23:00,671.48,671.48,671.14,671.16,865
2025-10-09 11:24:00,671.03,671.03,671.02,671.02,464
2025-10-09 11:25:00,671.05,671.19,671.05,671.105,1026
2025-10-09 11:26:00,671.12,671.15,671.11,671.11,1467
2025-10-09 11:27:00,671.08,671.08,670.93,670.94,1945
2025-10-09 11:28:00,670.91,670.945,670.805,670.81,925
2025-10-09 11:29:00,670.76,670.78,670.69,670.75,784
2025-10-09 11:30:00,670.73,670.78,670.625,670.78,1983
2025-10-09 11:31:00,670.66,670.66,670.605,670.605,2520
2025-10-09 11:32:00,670.63,670.78,670.63,670.675,1372
2025-10-09 11:33:00,670.715,670.725,670.67,670.67,491
2025-10-09 11:34:00,670.54,670.57,670.205,670.205,1617
2025-10-09 11:35:00,670.11,670.27,670.02,670.24,5093
2025-10-09 11:36:00,670.33,670.36,670.33,670.335,537
2025-10-09 11:37:00,670.61,670.68,670.61,670.68,478
2025-10-09 11:38:00,670.63,670.79,670.63,670.71,945
2025-10-09 11:39:00,670.61,670.61,670.57,670.61,712
2025-10-09 11:40:00,670.535,670.535,670.33,670.33,995
2025-10-09 11:41:00,670.33,670.44,670.33,670.395,1646
2025-10-09 11:42:00,670.435,670.435,670.31,670.43,1717
2025-10-09 11:43:00,670.295,670.365,670.295,670.34,555
2025-10-09 11:44:00,670.425,670.5,670.425,670.46,1066
2025-10-09 11:45:00,670.52,670.55,670.52,670.55,607
2025-10-09 11:46:00,670.54,670.64,670.45,670.64,2332
2025-10-09 11:47:00,670.72,670.77,670.64,670.77,728
2025-10-09 11:48:00,670.76,670.895,670.74,670.855,1895
2025-10-09 11:49:00,670.99,671.145,670.99,671.145,1008
2025-10-09 11:50:00,671.14,671.21,671.1,671.2,2847
2025-10-09 11:51:00,671.2,671.265,671.16,671.265,1707
2025-10-09 11:52:00,671.3,671.38,671.26,671.325,2588
2025-10-09 11:53:00,671.33,671.43,671.33,671.38,929
2025-10-09 11:54:00,671.35,671.35,671.26,671.33,2986
2025-10-09 11:55:00,671.34,671.44,671.32,671.42,1227
