timestamp,open,high,low,close,volume
2025-10-02T09:30:00-04:00,1759411800,670.45,670.5,669.84,669.93,709655.0
2025-10-02T09:31:00-04:00,1759411860,669.92,670.38,669.89,670.32,394815.0
2025-10-02T09:32:00-04:00,1759411920,670.33,670.4273,670.26,670.34,234208.0
2025-10-02T09:33:00-04:00,1759411980,670.34,670.435,670.29,670.42,300948.0
2025-10-02T09:34:00-04:00,1759412040,670.42,670.565,670.14,670.225,369607.0
2025-10-02T09:35:00-04:00,1759412100,670.22,670.36,670.14,670.36,399062.0
2025-10-02T09:36:00-04:00,1759412160,670.37,670.47,670.21,670.36,222132.0
2025-10-02T09:37:00-04:00,1759412220,670.36,670.41,670.13,670.16,165881.0
2025-10-02T09:38:00-04:00,1759412280,670.21,670.2399,669.84,669.8893,266131.0
2025-10-02T09:39:00-04:00,1759412340,669.88,670.04,669.75,669.815,248066.0
2025-10-02T09:40:00-04:00,1759412400,669.815,669.8225,669.39,669.4199,370800.0
2025-10-02T09:41:00-04:00,1759412460,669.41,669.54,669.21,669.34,241552.0
2025-10-02T09:42:00-04:00,1759412520,669.34,669.5,669.1,669.23,283080.0
2025-10-02T09:43:00-04:00,1759412580,669.23,669.28,668.885,669.13,246474.0
2025-10-02T09:44:00-04:00,1759412640,669.12,669.135,668.94,669.045,246047.0
2025-10-02T09:45:00-04:00,1759412700,669.04,669.48,668.89,669.42,459064.0
2025-10-02T09:46:00-04:00,1759412760,669.42,669.61,669.32,669.59,299123.0
2025-10-02T09:47:00-04:00,1759412820,669.59,669.62,669.4199,669.52,193871.0
2025-10-02T09:48:00-04:00,1759412880,669.52,669.56,669.345,669.49,202038.0
2025-10-02T09:49:00-04:00,1759412940,669.5,669.515,669.01,669.1,361608.0
2025-10-02T09:50:00-04:00,1759413000,669.1,669.18,668.845,669.04,359165.0
2025-10-02T09:51:00-04:00,1759413060,669.04,669.28,668.9,668.95,236757.0
2025-10-02T09:52:00-04:00,1759413120,668.94,669.195,668.75,669.12,296399.0
2025-10-02T09:53:00-04:00,1759413180,669.12,669.53,669.08,669.41,192798.0
2025-10-02T09:54:00-04:00,1759413240,669.42,669.6385,669.34,669.51,219498.0
2025-10-02T09:55:00-04:00,1759413300,669.5,669.54,669.08,669.17,248372.0
2025-10-02T09:56:00-04:00,1759413360,669.18,669.24,668.94,668.995,117071.0
2025-10-02T09:57:00-04:00,1759413420,668.98,669.02,668.83,668.98,131568.0
2025-10-02T09:58:00-04:00,1759413480,668.98,669.31,668.9,669.2999,129783.0
2025-10-02T09:59:00-04:00,1759413540,669.27,669.49,669.26,669.42,179203.0
2025-10-02T10:00:00-04:00,1759413600,669.41,669.41,668.97,669.22,216984.0
2025-10-02T10:01:00-04:00,1759413660,669.21,669.33,669.11,669.28,190947.0
2025-10-02T10:02:00-04:00,1759413720,669.28,669.31,669.02,669.03,135674.0
2025-10-02T10:03:00-04:00,1759413780,669.04,669.275,669.03,669.27,167752.0
2025-10-02T10:04:00-04:00,1759413840,669.28,669.41,669.22,669.375,145580.0
2025-10-02T10:05:00-04:00,1759413900,669.39,669.4799,669.31,669.45,96787.0
2025-10-02T10:06:00-04:00,1759413960,669.455,669.5299,669.0488,669.08,214855.0
2025-10-02T10:07:00-04:00,1759414020,669.09,669.2289,669.0001,669.15,105684.0
2025-10-02T10:08:00-04:00,1759414080,669.14,669.16,669.02,669.12,63036.0
2025-10-02T10:09:00-04:00,1759414140,669.11,669.21,668.93,668.94,93117.0
2025-10-02T10:10:00-04:00,1759414200,668.96,669.0,668.815,668.85,120516.0
2025-10-02T10:11:00-04:00,1759414260,668.855,668.96,668.46,668.57,265874.0
2025-10-02T10:12:00-04:00,1759414320,668.58,668.75,668.54,668.62,179453.0
2025-10-02T10:13:00-04:00,1759414380,668.62,668.75,668.54,668.65,96051.0
2025-10-02T10:14:00-04:00,1759414440,668.65,668.71,668.48,668.63,84160.0
2025-10-02T10:15:00-04:00,1759414500,668.61,668.76,668.59,668.68,91605.0
2025-10-02T10:16:00-04:00,1759414560,668.67,668.81,668.54,668.72,109593.0
2025-10-02T10:17:00-04:00,1759414620,668.74,668.75,668.64,668.64,107721.0
2025-10-02T10:18:00-04:00,1759414680,668.645,668.78,668.55,668.76,173738.0
2025-10-02T10:19:00-04:00,1759414740,668.77,668.87,668.48,668.51,381427.0
2025-10-02T10:20:00-04:00,1759414800,668.5,668.66,668.29,668.385,232077.0
2025-10-02T10:21:00-04:00,1759414860,668.38,668.52,668.295,668.415,102916.0
2025-10-02T10:22:00-04:00,1759414920,668.44,668.4979,668.3,668.44,224923.0
2025-10-02T10:23:00-04:00,1759414980,668.45,668.68,668.38,668.59,157192.0
2025-10-02T10:24:00-04:00,1759415040,668.59,668.685,668.5,668.56,117931.0
2025-10-02T10:25:00-04:00,1759415100,668.56,668.72,668.49,668.5,150313.0
2025-10-02T10:26:00-04:00,1759415160,668.505,668.7299,668.465,668.6399,119341.0
2025-10-02T10:27:00-04:00,1759415220,668.64,668.92,668.635,668.9199,145090.0
2025-10-02T10:28:00-04:00,1759415280,668.9187,668.99,668.71,668.77,186598.0
2025-10-02T10:29:00-04:00,1759415340,668.765,668.83,668.67,668.7113,134960.0
2025-10-02T10:30:00-04:00,1759415400,668.72,668.97,668.715,668.955,159828.0
2025-10-02T10:31:00-04:00,1759415460,668.96,669.02,668.525,668.58,154254.0
2025-10-02T10:32:00-04:00,1759415520,668.605,668.7579,668.6,668.63,89652.0
2025-10-02T10:33:00-04:00,1759415580,668.625,668.6399,668.27,668.2901,140369.0
2025-10-02T10:34:00-04:00,1759415640,668.29,668.44,668.255,668.42,117005.0
2025-10-02T10:35:00-04:00,1759415700,668.425,668.5881,668.39,668.485,234154.0
2025-10-02T10:36:00-04:00,1759415760,668.51,668.55,668.4,668.51,70270.0
2025-10-02T10:37:00-04:00,1759415820,668.5,668.69,668.4,668.67,81781.0
2025-10-02T10:38:00-04:00,1759415880,668.675,668.75,668.55,668.735,119126.0
2025-10-02T10:39:00-04:00,1759415940,668.75,668.9151,668.75,668.885,95147.0
2025-10-02T10:40:00-04:00,1759416000,668.875,668.88,668.57,668.695,98071.0
2025-10-02T10:41:00-04:00,1759416060,668.71,668.81,668.61,668.63,104346.0
2025-10-02T10:42:00-04:00,1759416120,668.63,668.69,668.45,668.58,121410.0
2025-10-02T10:43:00-04:00,1759416180,668.58,668.6,668.37,668.44,211430.0
