timestamp,time.hour_sin,time.hour_cos,time.minute_sin,time.minute_cos,time.dow_sin,time.dow_cos,time.dom_sin,time.dom_cos,price.close,price.open,price.high,price.low,price.return_1,volume.raw,sma10,sma20,sma50,ema10,ema20,ema50,price_vs_sma20,price_vs_ema20,atr14,atr14_pct,bb20.mean,bb20.sd,bb20.upper,bb20.lower,bb20.percent_b,bb20.bandwidth,keltner.middle,keltner.upper,keltner.lower,rsi14,rsi21,stoch14.k,stoch14.d,stoch14.slow,will14,macd.line,macd.signal,macd.hist,roc5,roc10,roc20,cci20,obv,vwap,vwap_dist,don20.up,don20.mid,don20.dn,don20.position,pattern.doji,pattern.hammer,pattern.shooting_star,pattern.engulfing_bull,pattern.engulfing_bear
1759155300000,-0.5000000000,-0.8660254038,1.0000000000,0.0000000000,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.7400000000,664.6900000000,664.7900000000,664.6400000000,0.0001053154,140838.0000000000,598.2769570000,nan,nan,664.6577118085,664.5500874443,664.3986819465,nan,0.0002857761,nan,nan,nan,nan,nan,nan,nan,nan,664.5500874443,665.0805954443,664.0195794443,nan,nan,nan,nan,nan,nan,0.1314794535,0.1182116768,0.0132677767,-0.0330846968,0.0768860994,nan,nan,312716.0000000000,664.7416933582,-0.0000025474,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759155360000,-0.5000000000,-0.8660254038,0.9945218954,-0.1045284633,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.4401000000,664.7350000000,664.7350000000,664.3320000000,-0.0004511538,206842.0000000000,538.4422713000,nan,nan,664.6181460252,664.5396124496,664.4003061839,nan,-0.0001497465,nan,nan,nan,nan,nan,nan,nan,nan,664.5396124496,665.0986696496,663.9805552496,nan,nan,nan,nan,nan,nan,0.1062340763,0.1158161567,-0.0095820804,-0.0556399573,-0.0105190291,nan,nan,105874.0000000000,664.7137715895,-0.0004117134,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759155420000,-0.5000000000,-0.8660254038,0.9781476007,-0.2079116908,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.4200000000,664.4400000000,664.5000000000,664.2500000000,-0.0000302510,173371.0000000000,484.5600441700,nan,nan,664.5821194751,664.5282207877,664.4010784904,nan,-0.0001628536,nan,nan,nan,nan,nan,nan,nan,nan,664.5282207877,665.0813722677,663.9750693077,nan,nan,nan,nan,nan,nan,0.0836408712,0.1093810996,-0.0257402284,-0.0188098624,-0.0571600481,nan,nan,-67497.0000000000,664.6926166741,-0.0004101395,nan,nan,nan,nan,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759155480000,-0.5000000000,-0.8660254038,0.9510565163,-0.3090169944,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.4100000000,664.4300000000,664.4950000000,664.3400000000,-0.0000150507,98326.0000000000,436.0690397530,nan,nan,664.5508250251,664.5169616651,664.4014283535,nan,-0.0001609615,0.2674000000,0.0004024623,nan,nan,nan,nan,nan,nan,664.5169616651,665.0457979971,663.9881253331,nan,nan,29.2682926829,29.2682926829,29.2682926829,-70.7317073171,0.0641887489,0.1003426294,-0.0361538805,-0.0255800656,-0.0526505807,nan,nan,-165823.0000000000,664.6815273028,-0.0004085074,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759155540000,-0.5000000000,-0.8660254038,0.9135454576,-0.4067366431,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.1712000000,664.4200000000,664.4800000000,664.1700000000,-0.0003594166,109724.0000000000,392.3702557777,nan,nan,664.4818022933,664.4840319827,664.3923997907,nan,-0.0004707893,0.2704428571,0.0004071885,nan,nan,nan,nan,nan,nan,664.4840319827,665.0219846815,663.9460792839,48.7086019115,nan,0.1081081081,14.6882003955,21.9782465392,-99.8918918919,0.0291674138,0.0861075863,-0.0569401725,-0.0750447591,-0.1381467170,nan,nan,-275547.0000000000,664.6601191381,-0.0007355927,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759155600000,-0.5000000000,-0.8660254038,0.8660254038,-0.5000000000,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.2100000000,664.1800000000,664.2350000000,663.9900000000,0.0000584187,332290.0000000000,353.0582301999,nan,nan,664.4323836945,664.4579336986,664.3852468577,nan,-0.0003731368,0.2686255102,0.0004044286,nan,nan,nan,nan,nan,nan,664.4579336986,664.9910911276,663.9247762697,49.6439686169,nan,17.0542635659,15.8712319807,18.9247392600,-82.9457364341,0.0044918104,0.0697844311,-0.0652926207,-0.0797304209,-0.1127887392,nan,nan,56743.0000000000,664.6093810882,-0.0006009260,nan,nan,nan,nan,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1759155660000,-0.5000000000,-0.8660254038,0.8090169944,-0.5877852523,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.4200000000,664.2000000000,664.4500000000,664.1900000000,0.0003161651,159093.0000000000,317.7134071799,nan,nan,664.4301321137,664.4543209654,664.3866097260,nan,-0.0000516529,0.2680094023,0.0004033735,nan,nan,nan,nan,nan,nan,664.4543209654,664.9861626515,663.9224792794,54.4822428126,nan,33.3333333333,24.6022826570,21.7635109585,-66.6666666667,0.0018600207,0.0561995491,-0.0543395283,-0.0030251034,-0.0586633775,nan,nan,215836.0000000000,664.5996838273,-0.0002703640,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759155720000,-0.5000000000,-0.8660254038,0.7431448255,-0.6691306064,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.6700000000,664.4400000000,664.6700000000,664.4350000000,0.0003762680,139255.0000000000,285.9545664619,nan,nan,664.4737444566,664.4748618259,664.3977230701,nan,0.0002936728,0.2667230165,0.0004012864,nan,nan,nan,nan,nan,nan,664.4748618259,665.0035193433,663.9462043084,59.4742524351,nan,52.7131782946,38.6577304758,30.2106207171,-47.2868217054,0.0197199004,0.0489036193,-0.0291837190,0.0376268023,0.0188098624,nan,nan,355091.0000000000,664.6027002064,0.0001012632,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759155780000,-0.5000000000,-0.8660254038,0.6691306064,-0.7431448255,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.8700000000,664.6600000000,664.8900000000,664.6300000000,0.0003009012,102578.0000000000,257.3881098157,nan,nan,664.5457909191,664.5124940329,664.4162437340,nan,0.0005379974,0.2662428010,0.0004004434,nan,nan,nan,nan,nan,nan,664.5124940329,665.0402857986,663.9847022672,62.9728170650,nan,78.5714285714,58.6145795236,44.4126001204,-21.4285714286,0.0494423713,0.0490113697,0.0004310016,0.0692343583,0.0436365825,nan,nan,457669.0000000000,664.6108879046,0.0003898704,nan,nan,nan,nan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1759155840000,-0.5000000000,-0.8660254038,0.5877852523,-0.8090169944,0.7818314825,0.6234898019,-0.3943558551,0.9189578116,664.8400000000,664.8700000000,664.8800000000,664.7700000000,-0.0000451216,238778.0000000000,231.6662988342,664.6072800000,nan,664.5992834792,664.5436850774,664.4328616268,0.0003501617,0.0004458923,0.2550826009,0.0003836752,664.6072800000,0.2564556976,665.1201913952,664.0943686048,0.7268617954,0.0015435022,664.5436850774,665.0406976665,664.0466724883,62.1067065555,nan,86.7346938776,72.6746367006,58.5436184105,-13.2653061224,0.0697725993,0.0531636156,0.0166089836,0.1006969287,0.0255766019,nan,51.1572575362,218891.0000000000,664.6261368314,0.0003217797,665.2800000000,664.6350000000,663.9900000000,0.6589147287,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
