ts_utc,ts_nyt_epoch,open,high,low,close,volume
2025-04-01T09:30:00-04:00,1743514200,156.18,156.6899,156.18,156.6899,5636
2025-04-01T09:31:00-04:00,1743514260,155.29,155.29,154.7,154.94,5727
2025-04-01T09:32:00-04:00,1743514320,154.98,156.21,154.98,156.0739,6170
2025-04-01T09:33:00-04:00,1743514380,156.29,156.6481,156.2772,156.34,1312
2025-04-01T09:34:00-04:00,1743514440,155.86,156.4499,155.86,156.4499,668
2025-04-01T09:35:00-04:00,1743514500,156.2,156.675,156.2,156.61,1474
2025-04-01T09:36:00-04:00,1743514560,155.99,156.1128,154.74,154.74,3175
2025-04-01T09:37:00-04:00,1743514620,154.48,154.98,154.48,154.98,5929
2025-04-01T09:38:00-04:00,1743514680,154.96,155.68,154.96,155.4,1734
2025-04-01T09:39:00-04:00,1743514740,155.55,155.58,155.27,155.3339,7716
2025-04-01T09:40:00-04:00,1743514800,155.63,155.88,155.63,155.75,7605
2025-04-01T09:41:00-04:00,1743514860,155.9,156.06,155.55,155.77,8168
2025-04-01T09:42:00-04:00,1743514920,155.1699,155.1699,154.37,154.37,1614
2025-04-01T09:43:00-04:00,1743514980,154.505,154.58,154.2,154.5,3362
2025-04-01T09:44:00-04:00,1743515040,154.58,155.04,154.58,154.92,2227
2025-04-01T09:45:00-04:00,1743515100,154.9599,155.1975,154.78,155.06,8223
2025-04-01T09:46:00-04:00,1743515160,154.95,155.2999,154.95,155.2999,628
2025-04-01T09:47:00-04:00,1743515220,155.66,155.85,155.63,155.7885,642
2025-04-01T09:48:00-04:00,1743515280,155.7126,156.3942,155.7126,156.01,3470
2025-04-01T09:49:00-04:00,1743515340,156.08,156.38,156.07,156.37,2490
2025-04-01T09:50:00-04:00,1743515400,156.46,156.78,156.177,156.72,4670
2025-04-01T09:51:00-04:00,1743515460,156.76,156.76,156.29,156.44,2855
2025-04-01T09:52:00-04:00,1743515520,156.47,156.8601,156.47,156.8601,2853
2025-04-01T09:53:00-04:00,1743515580,156.56,156.93,156.56,156.93,871
2025-04-01T09:54:00-04:00,1743515640,157.32,157.5,157.32,157.37,1422
2025-04-01T09:55:00-04:00,1743515700,157.03,157.03,156.31,156.31,1915
2025-04-01T09:56:00-04:00,1743515760,156.37,156.47,156.37,156.47,398
2025-04-01T09:58:00-04:00,1743515880,156.1743,156.24,156.1743,156.2,801
2025-04-01T09:59:00-04:00,1743515940,155.59,155.59,155.59,155.59,215
2025-04-01T10:00:00-04:00,1743516000,155.81,155.96,155.4199,155.96,4930
2025-04-01T10:01:00-04:00,1743516060,155.45,155.67,155.45,155.67,1275
2025-04-01T10:02:00-04:00,1743516120,154.84,155.05,154.77,154.78,3216
2025-04-01T10:03:00-04:00,1743516180,154.5001,154.59,154.5,154.5499,2235
2025-04-01T10:04:00-04:00,1743516240,154.68,154.68,153.4098,153.49,12134
2025-04-01T10:05:00-04:00,1743516300,153.47,154.08,153.47,153.5,4459
2025-04-01T10:06:00-04:00,1743516360,153.54,153.54,152.66,152.66,3549
2025-04-01T10:07:00-04:00,1743516420,152.5,152.87,152.157,152.87,6375
2025-04-01T10:08:00-04:00,1743516480,152.865,153.04,152.77,152.865,2057
2025-04-01T10:09:00-04:00,1743516540,152.93,153.145,152.93,153.145,534
2025-04-01T10:10:00-04:00,1743516600,153.23,153.35,152.61,152.8699,2643
2025-04-01T10:11:00-04:00,1743516660,152.8335,152.965,152.8335,152.87,1632
2025-04-01T10:12:00-04:00,1743516720,152.7,152.7562,152.58,152.58,1722
2025-04-01T10:13:00-04:00,1743516780,152.6,152.68,152.5,152.68,1992
2025-04-01T10:14:00-04:00,1743516840,152.52,152.6001,152.52,152.6001,1615
2025-04-01T10:15:00-04:00,1743516900,152.3,152.81,152.3,152.81,520
2025-04-01T10:16:00-04:00,1743516960,152.8,152.92,152.55,152.55,2694
2025-04-01T10:17:00-04:00,1743517020,153.16,153.16,153.16,153.16,605
2025-04-01T10:18:00-04:00,1743517080,152.83,152.83,152.45,152.49,2713
2025-04-01T10:19:00-04:00,1743517140,152.64,152.79,152.64,152.79,366
2025-04-01T10:20:00-04:00,1743517200,152.775,152.775,152.775,152.775,326
2025-04-01T10:21:00-04:00,1743517260,152.5,152.67,152.5,152.67,1862
2025-04-01T10:22:00-04:00,1743517320,152.96,152.96,152.96,152.96,1160
